Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),Heating:NaturalGas [J](Hourly),Water Heater:WaterSystems:NaturalGas [J](Hourly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 01/21  20:00:00,13161770.523981903,4870970.523967361,0.0,0.0,0.0,0.0,73436405.94704337,71805259.39204541,1631146.5549979683 
 01/21  21:00:00,14379513.154973743,6088713.154959202,0.0,0.0,0.0,0.0,96487754.97861952,96415754.97861952,72000.0 
 01/21  22:00:00,13161770.523981903,4870970.523967361,0.0,0.0,0.0,0.0,75605578.82390103,73974423.50623506,1631155.317665971 
 01/21  23:00:00,14379513.154973743,6088713.154959202,0.0,0.0,0.0,0.0,99537749.69675195,97906632.4118257,1631117.2849262436 
 01/21  24:00:00,13161770.523981903,4870970.523967361,0.0,0.0,0.0,0.0,74918702.11067693,74846702.11067693,72000.0,273408622.9791221,2568108730.628806,227.22219133772694,0.1348938010374133,0.20701311834446676,0.2915863881763524,0.004917119679742929,0.5125091953567257,0.0,0.013974086296564353,0.0,0.0,0.009488797655098448,0.0000018268112940790694,0.000008142298705983955,117.8269771611414,0.0,0.0,63.658968069048036 
 07/21  01:00:00,59600151.33551228,5421579.884898916,6287385.357798815,0.0,19800193.046400003,19800193.046400003,72000.0,0.0,72000.0 
 07/21  02:00:00,58819968.20945535,5375014.899360215,5553767.217280586,0.0,19800193.046400003,19800193.046400003,1631072.9881678482,0.0,1631072.9881678482 
 07/21  03:00:00,59670521.29400946,5584668.779566348,6194666.421628563,0.0,19800193.046400003,19800193.046400003,72000.0,0.0,72000.0 
 07/21  04:00:00,58582634.63220126,5375014.899360215,5316433.6400265,0.0,19800193.046400003,19800193.046400003,1631022.3970545481,0.0,1631022.3970545481 
 07/21  05:00:00,55248493.19981611,5584668.779566348,5918038.3274352085,0.0,19800193.046400003,19800193.046400003,1631101.6189280383,0.0,1631101.6189280383 
